[ 00:11:21.264 -->  00:11:22.317] 1 SPEAKER_01
[ 00:11:21.366 -->  00:11:21.519] 3 SPEAKER_03
[ 00:11:22.317 -->  00:11:22.402] 4 SPEAKER_04
[ 00:11:22.741 -->  00:11:27.275] 3 SPEAKER_03
[ 00:11:25.814 -->  00:11:35.950] 4 SPEAKER_04
[ 00:11:29.091 -->  00:11:32.062] 3 SPEAKER_03
[ 00:11:33.522 -->  00:11:33.828] 3 SPEAKER_03
[ 00:11:35.339 -->  00:12:00.993] 3 SPEAKER_03
[ 00:11:46.969 -->  00:11:47.937] 2 SPEAKER_02
[ 00:12:00.993 -->  00:12:01.672] 2 SPEAKER_02
[ 00:12:01.977 -->  00:12:01.994] 2 SPEAKER_02
[ 00:12:01.994 -->  00:12:03.047] 4 SPEAKER_04
[ 00:12:02.181 -->  00:12:04.117] 2 SPEAKER_02
[ 00:12:03.047 -->  00:12:03.149] 3 SPEAKER_03
[ 00:12:03.658 -->  00:12:03.947] 3 SPEAKER_03
[ 00:12:03.947 -->  00:12:12.674] 4 SPEAKER_04
[ 00:12:11.994 -->  00:12:15.033] 3 SPEAKER_03
[ 00:12:15.526 -->  00:12:24.745] 3 SPEAKER_03
[ 00:12:17.342 -->  00:12:17.359] 2 SPEAKER_02
[ 00:12:17.359 -->  00:12:17.903] 4 SPEAKER_04
[ 00:12:17.903 -->  00:12:17.954] 2 SPEAKER_02
[ 00:12:17.954 -->  00:12:17.988] 4 SPEAKER_04
[ 00:12:19.261 -->  00:12:19.312] 1 SPEAKER_01
[ 00:12:19.312 -->  00:12:20.008] 2 SPEAKER_02
[ 00:12:20.008 -->  00:12:20.144] 1 SPEAKER_01
[ 00:12:20.144 -->  00:12:20.195] 2 SPEAKER_02
[ 00:12:20.195 -->  00:12:20.229] 1 SPEAKER_01
[ 00:12:20.229 -->  00:12:20.857] 2 SPEAKER_02
[ 00:12:20.857 -->  00:12:20.925] 1 SPEAKER_01
[ 00:12:20.925 -->  00:12:21.129] 2 SPEAKER_02
[ 00:12:21.129 -->  00:12:21.349] 1 SPEAKER_01
[ 00:12:21.417 -->  00:12:21.655] 2 SPEAKER_02
[ 00:12:21.655 -->  00:12:21.859] 1 SPEAKER_01
[ 00:12:24.745 -->  00:12:25.237] 1 SPEAKER_01
[ 00:12:24.762 -->  00:12:26.341] 3 SPEAKER_03
[ 00:12:26.256 -->  00:12:29.465] 1 SPEAKER_01
[ 00:12:27.818 -->  00:12:47.156] 3 SPEAKER_03
[ 00:12:34.847 -->  00:12:35.543] 1 SPEAKER_01
[ 00:12:46.731 -->  00:12:50.619] 4 SPEAKER_04
